Point_No    x    y    z
01              0    1.6000    0.2900
02              0    2.4000    0.2900
03              0    3.2000    0.2900
04              0    4.0000    0.2900
05              0    4.8000    0.2900
06              0    0.8000    0.2900
07         1.6000    1.6000    0.2900
08         1.6000    2.4000    0.2900
09         1.6000    3.2000    0.2900
10        1.6000    4.0000    0.2900
11        1.6000    4.8000    0.2900
12        1.6000    0.8000    0.2900
13        2.4000    1.6000    0.2900
14        2.4000    2.4000    0.2900
15        2.4000    3.2000    0.2900
16        2.4000    4.0000    0.2900
17        2.4000    4.8000    0.2900
18        2.4000    0.8000    0.2900
19        3.2000    1.6000    0.2900
20        3.2000    2.4000    0.2900
21        3.2000    3.2000    0.2900
22        3.2000    4.0000    0.2900
23        3.2000    4.8000    0.2900
24        3.2000    0.8000    0.2900
25        0.8000    1.6000    0.2900
26        0.8000    2.4000    0.2900
27        0.8000    3.2000    0.2900
28        0.8000    4.0000    0.2900
29        0.8000    4.8000    0.2900
30        0.8000    0.8000    0.2900
