time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1061918406,0.6737,0.6798,-9.7142,-0.0331,-0.0856,0.1555,0.0000,0.0000,0.0000
1061928401,0.6616,0.6694,-9.7142,0.0183,-0.1457,0.0247,0.0000,0.0000,0.0000
1061938575,0.6576,0.6670,-9.7142,0.0192,-0.1220,0.0142,0.0000,0.0000,0.0000
1061948576,0.6681,0.6726,-9.7166,-0.0098,-0.0803,0.0558,0.0000,0.0000,0.0000
1061958573,0.6745,0.6734,-9.7198,-0.0265,-0.0741,0.0845,0.0000,0.0000,0.0000
1061968473,0.6649,0.6662,-9.7134,0.0083,-0.0553,0.1141,0.0000,0.0000,0.0000
1061978407,0.6665,0.6662,-9.7094,-0.0204,-0.0381,0.0916,0.0000,0.0000,0.0000
1061988475,0.6769,0.6782,-9.7174,-0.0374,-0.0387,0.0263,0.0000,0.0000,0.0000
1061998476,0.6721,0.6782,-9.7126,-0.0034,-0.0143,0.0614,0.0000,0.0000,0.0000
1062008582,0.6721,0.6646,-9.7070,-0.0157,-0.0375,0.1150,0.0000,0.0000,0.0000
1062018586,0.6769,0.6654,-9.7134,-0.0444,-0.0863,0.1321,0.0000,0.0000,0.0000
1062028485,0.6665,0.6734,-9.7142,-0.0435,-0.1396,0.0486,0.0000,0.0000,0.0000
1062038481,0.6592,0.6678,-9.7182,-0.0385,-0.1220,-0.0510,0.0000,0.0000,0.0000
1062048488,0.6697,0.6734,-9.7134,-0.0382,-0.0322,0.0311,0.0000,0.0000,0.0000
1062058483,0.6745,0.6790,-9.7182,-0.0268,-0.0327,0.2094,0.0000,0.0000,0.0000
1062068657,0.6681,0.6654,-9.7222,-0.0279,-0.1046,0.1505,0.0000,0.0000,0.0000
1062078690,0.6649,0.6590,-9.7198,-0.0322,-0.1037,0.0315,0.0000,0.0000,0.0000
1062088484,0.6721,0.6670,-9.7230,-0.0374,-0.1335,0.0550,0.0000,0.0000,0.0000
1062098410,0.6737,0.6750,-9.7214,-0.0482,-0.0864,0.0966,0.0000,0.0000,0.0000
1062108575,0.6713,0.6758,-9.7126,-0.0307,-0.0323,0.1742,0.0000,0.0000,0.0000
1062118580,0.6689,0.6694,-9.7134,-0.0382,-0.0445,0.1860,0.0000,0.0000,0.0000
1062128413,0.6681,0.6694,-9.7174,-0.0327,-0.0500,0.0842,0.0000,0.0000,0.0000
1062138571,0.6697,0.6742,-9.7142,-0.0034,-0.0448,0.0721,0.0000,0.0000,0.0000
1062148582,0.6713,0.6702,-9.7142,0.0025,-0.0625,0.1083,0.0000,0.0000,0.0000
1062158416,0.6729,0.6726,-9.7158,-0.0552,-0.0507,0.1325,0.0000,0.0000,0.0000
1062168619,0.6697,0.6782,-9.7142,-0.0446,-0.0687,0.1197,0.0000,0.0000,0.0000
1062178414,0.6616,0.6734,-9.7182,-0.0103,-0.0677,0.0417,0.0000,0.0000,0.0000
1062188480,0.6681,0.6710,-9.7134,-0.0270,-0.0486,0.0430,0.0000,0.0000,0.0000
1062198658,0.6793,0.6678,-9.7166,-0.0438,-0.0492,0.1200,0.0000,0.0000,0.0000
1062208485,0.6664,0.6694,-9.7174,-0.0219,-0.0373,0.1255,0.0000,0.0000,0.0000
1062218582,0.6664,0.6678,-9.7118,-0.0054,-0.0317,0.1196,0.0000,0.0000,0.0000
1062228484,0.6825,0.6678,-9.7214,-0.0211,-0.1395,0.1442,0.0000,0.0000,0.0000
1062238653,0.6697,0.6734,-9.7246,-0.0265,-0.1336,0.0554,0.0000,0.0000,0.0000
1062248491,0.6512,0.6750,-9.7190,-0.0273,-0.0567,0.0020,0.0000,0.0000,0.0000
1062258493,0.6657,0.6726,-9.7206,-0.0157,-0.0024,0.0962,0.0000,0.0000,0.0000
1062268660,0.6833,0.6702,-9.7174,-0.0214,0.0153,0.1559,0.0000,0.0000,0.0000
1062278486,0.6745,0.6726,-9.7150,0.0123,-0.0570,0.1380,0.0000,0.0000,0.0000
1062288617,0.6584,0.6630,-9.7206,0.0358,-0.1284,0.0905,0.0000,0.0000,0.0000
1062298491,0.6552,0.6678,-9.7246,-0.0328,-0.0984,0.0546,0.0000,0.0000,0.0000
1062308418,0.6600,0.6742,-9.7206,-0.0498,0.0048,0.0363,0.0000,0.0000,0.0000
1062318490,0.6769,0.6702,-9.7182,-0.0322,0.0535,0.0718,0.0000,0.0000,0.0000
1062328413,0.6897,0.6638,-9.7134,-0.0374,-0.0498,0.1615,0.0000,0.0000,0.0000
1062338616,0.6713,0.6710,-9.7118,-0.0430,-0.1631,0.1672,0.0000,0.0000,0.0000
1062348413,0.6552,0.6766,-9.7150,-0.0201,-0.1222,0.1438,0.0000,0.0000,0.0000
1062358684,0.6640,0.6678,-9.7126,-0.0378,-0.0508,0.1980,0.0000,0.0000,0.0000
1062368418,0.6697,0.6686,-9.7158,-0.0328,-0.0326,0.1618,0.0000,0.0000,0.0000
1062378489,0.6665,0.6758,-9.7134,-0.0267,-0.0265,0.0597,0.0000,0.0000,0.0000
1062388690,0.6713,0.6702,-9.7134,-0.0332,-0.0683,0.0430,0.0000,0.0000,0.0000
1062398493,0.6705,0.6718,-9.7206,-0.0334,-0.0624,0.1208,0.0000,0.0000,0.0000
1062408696,0.6649,0.6710,-9.7158,-0.0101,-0.0440,0.1859,0.0000,0.0000,0.0000
1062418592,0.6721,0.6726,-9.7158,0.0018,-0.0426,0.0896,0.0000,0.0000,0.0000
1062428487,0.6865,0.6758,-9.7110,-0.0144,-0.0437,0.0659,0.0000,0.0000,0.0000
1062438491,0.6753,0.6710,-9.7142,-0.0255,-0.1398,0.1376,0.0000,0.0000,0.0000
1062448662,0.6568,0.6726,-9.7150,-0.0319,-0.1636,0.1621,0.0000,0.0000,0.0000
1062458587,0.6568,0.6678,-9.7126,-0.0040,-0.0921,0.1142,0.0000,0.0000,0.0000
1062468495,0.6801,0.6702,-9.7190,-0.0098,-0.0378,0.0538,0.0000,0.0000,0.0000
1062478622,0.6841,0.6758,-9.7198,-0.0391,-0.0804,0.0963,0.0000,0.0000,0.0000
1062488489,0.6632,0.6742,-9.7142,-0.0382,-0.1107,0.1977,0.0000,0.0000,0.0000
1062498418,0.6520,0.6630,-9.7126,-0.0376,-0.1343,0.1196,0.0000,0.0000,0.0000
1062508597,0.6592,0.6702,-9.7206,-0.0549,-0.0741,-0.0096,0.0000,0.0000,0.0000
1062518423,0.6737,0.6766,-9.7134,-0.0496,-0.0132,0.1026,0.0000,0.0000,0.0000
1062528493,0.6817,0.6662,-9.7190,-0.0378,-0.0320,0.2329,0.0000,0.0000,0.0000
1062538418,0.6753,0.6630,-9.7206,-0.0149,-0.1044,0.1673,0.0000,0.0000,0.0000
