time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1464376591,0.6335,0.6790,-9.7246,0.0011,-0.0199,0.0900,0.0000,0.0000,0.0000
1464386684,0.6327,0.6814,-9.7094,-0.0040,0.0042,0.1676,0.0000,0.0000,0.0000
1464396698,0.6279,0.6718,-9.7198,-0.0143,-0.0504,0.1442,0.0000,0.0000,0.0000
1464406518,0.6392,0.6726,-9.7214,-0.0147,-0.0324,-0.0042,0.0000,0.0000,0.0000
1464416597,0.6391,0.6678,-9.7142,-0.0154,-0.0565,0.0016,0.0000,0.0000,0.0000
1464426525,0.6303,0.6622,-9.7214,-0.0387,-0.0561,0.1084,0.0000,0.0000,0.0000
1464436700,0.6392,0.6670,-9.7198,-0.0387,0.0118,0.1443,0.0000,0.0000,0.0000
1464446688,0.6432,0.6790,-9.7206,-0.0103,-0.0444,0.1022,0.0000,0.0000,0.0000
1464456597,0.6343,0.6798,-9.7190,-0.0216,-0.0380,0.0842,0.0000,0.0000,0.0000
1464466689,0.6359,0.6670,-9.7070,-0.0213,-0.0497,0.1149,0.0000,0.0000,0.0000
1464476600,0.6319,0.6574,-9.7238,-0.0034,-0.0924,0.0496,0.0000,0.0000,0.0000
1464486709,0.6287,0.6678,-9.7254,0.0069,-0.0806,-0.0566,0.0000,0.0000,0.0000
1464496585,0.6360,0.6742,-9.7102,0.0178,-0.0688,-0.0566,0.0000,0.0000,0.0000
1464506516,0.6376,0.6702,-9.7182,0.0070,-0.0322,0.0608,0.0000,0.0000,0.0000
1464516797,0.6456,0.6758,-9.7118,-0.0265,-0.0080,0.1563,0.0000,0.0000,0.0000
1464526586,0.6456,0.6686,-9.7174,-0.0157,-0.0440,0.1980,0.0000,0.0000,0.0000
1464536691,0.6295,0.6662,-9.7238,-0.0093,-0.1335,0.1208,0.0000,0.0000,0.0000
1464546696,0.6183,0.6734,-9.7182,-0.0265,-0.0735,0.0084,0.0000,0.0000,0.0000
1464556689,0.6335,0.6774,-9.7166,-0.0336,0.0114,-0.0507,0.0000,0.0000,0.0000
1464566604,0.6520,0.6774,-9.7198,-0.0385,-0.0069,0.0076,0.0000,0.0000,0.0000
1464576697,0.6448,0.6806,-9.7150,-0.0384,-0.0372,0.1266,0.0000,0.0000,0.0000
1464586708,0.6311,0.6742,-9.7182,-0.0332,-0.0869,0.1445,0.0000,0.0000,0.0000
1464596523,0.6215,0.6646,-9.7310,-0.0270,-0.0386,0.1204,0.0000,0.0000,0.0000
1464606801,0.6231,0.6598,-9.7182,-0.0149,0.0655,0.1567,0.0000,0.0000,0.0000
1464616523,0.6432,0.6686,-9.7166,-0.0093,0.0596,0.0488,0.0000,0.0000,0.0000
1464626591,0.6528,0.6782,-9.7190,-0.0211,-0.0074,0.0662,0.0000,0.0000,0.0000
1464636520,0.6359,0.6774,-9.7110,-0.0098,-0.0741,0.1555,0.0000,0.0000,0.0000
1464646600,0.6199,0.6654,-9.7222,-0.0044,-0.1398,0.0538,0.0000,0.0000,0.0000
1464656729,0.6263,0.6694,-9.7230,-0.0157,-0.0682,-0.0046,0.0000,0.0000,0.0000
1464666597,0.6424,0.6646,-9.7166,-0.0041,0.0057,0.1146,0.0000,0.0000,0.0000
1464676523,0.6448,0.6582,-9.7206,-0.0098,-0.0007,0.1981,0.0000,0.0000,0.0000
1464686606,0.6368,0.6686,-9.7142,-0.0384,-0.0498,0.1260,0.0000,0.0000,0.0000
1464696518,0.6239,0.6822,-9.7166,-0.0098,-0.0977,0.0063,0.0000,0.0000,0.0000
1464706703,0.6311,0.6798,-9.7142,0.0019,-0.0315,0.0593,0.0000,0.0000,0.0000
1464716595,0.6504,0.6734,-9.7078,-0.0211,0.0114,0.1321,0.0000,0.0000,0.0000
1464726702,0.6424,0.6790,-9.7214,-0.0154,-0.0563,0.0851,0.0000,0.0000,0.0000
1464736598,0.6335,0.6718,-9.7206,-0.0039,-0.0075,0.0380,0.0000,0.0000,0.0000
1464746524,0.6392,0.6694,-9.7126,-0.0098,-0.0007,0.0918,0.0000,0.0000,0.0000
1464756599,0.6432,0.6750,-9.7190,-0.0263,-0.0739,0.1208,0.0000,0.0000,0.0000
1464766522,0.6343,0.6798,-9.7190,-0.0206,-0.1161,0.0784,0.0000,0.0000,0.0000
1464776806,0.6223,0.6686,-9.7174,-0.0378,-0.1221,0.0846,0.0000,0.0000,0.0000
1464786531,0.6335,0.6646,-9.7214,-0.0601,-0.0444,0.0850,0.0000,0.0000,0.0000
1464796815,0.6456,0.6790,-9.7182,-0.0715,0.0226,0.0612,0.0000,0.0000,0.0000
1464806532,0.6440,0.6734,-9.7174,-0.0321,-0.0257,0.0904,0.0000,0.0000,0.0000
1464816593,0.6295,0.6702,-9.7182,-0.0036,-0.0385,0.1025,0.0000,0.0000,0.0000
1464826738,0.6303,0.6782,-9.7126,-0.0382,0.0405,0.0846,0.0000,0.0000,0.0000
1464836598,0.6440,0.6790,-9.7182,-0.0100,0.0774,0.1322,0.0000,0.0000,0.0000
1464846696,0.6568,0.6694,-9.7142,0.0245,0.0097,0.1739,0.0000,0.0000,0.0000
1464856769,0.6488,0.6654,-9.7102,0.0191,-0.1217,0.1621,0.0000,0.0000,0.0000
1464866703,0.6335,0.6734,-9.7206,-0.0328,-0.1690,0.0841,0.0000,0.0000,0.0000
1464876711,0.6263,0.6742,-9.7254,-0.0493,-0.0802,0.1021,0.0000,0.0000,0.0000
1464886699,0.6287,0.6686,-9.7254,-0.0378,-0.0135,0.1200,0.0000,0.0000,0.0000
1464896601,0.6392,0.6686,-9.7246,-0.0261,-0.0136,0.1200,0.0000,0.0000,0.0000
1464906601,0.6496,0.6726,-9.7166,-0.0258,-0.0441,0.1201,0.0000,0.0000,0.0000
1464916811,0.6415,0.6718,-9.7174,-0.0325,-0.1036,0.1026,0.0000,0.0000,0.0000
1464926769,0.6263,0.6638,-9.7198,-0.0439,-0.1098,0.1325,0.0000,0.0000,0.0000
1464936709,0.6183,0.6718,-9.7198,-0.0376,-0.0387,0.1022,0.0000,0.0000,0.0000
1464946774,0.6368,0.6774,-9.7158,-0.0202,-0.0145,0.0480,0.0000,0.0000,0.0000
1464956601,0.6544,0.6750,-9.7126,-0.0206,-0.0447,0.0245,0.0000,0.0000,0.0000
1464966606,0.6456,0.6806,-9.7150,-0.0152,-0.1099,0.0835,0.0000,0.0000,0.0000
1464976600,0.6279,0.6742,-9.7190,-0.0157,-0.1096,0.1972,0.0000,0.0000,0.0000
1464986780,0.6279,0.6670,-9.7182,-0.0157,-0.0629,0.1796,0.0000,0.0000,0.0000
1464996704,0.6367,0.6702,-9.7190,-0.0277,-0.0634,0.0299,0.0000,0.0000,0.0000
1465006600,0.6368,0.6750,-9.7238,-0.0277,-0.0507,-0.0047,0.0000,0.0000,0.0000
1465016536,0.6343,0.6654,-9.7158,-0.0272,-0.0921,0.0955,0.0000,0.0000,0.0000
1465026607,0.6311,0.6678,-9.7198,-0.0325,-0.1162,0.0779,0.0000,0.0000,0.0000
1465036531,0.6279,0.6790,-9.7142,-0.0154,-0.0687,0.0432,0.0000,0.0000,0.0000
1465046703,0.6384,0.6670,-9.7094,0.0128,-0.0208,0.0604,0.0000,0.0000,0.0000
1465056698,0.6416,0.6630,-9.7190,-0.0162,-0.0385,0.1150,0.0000,0.0000,0.0000
1465066609,0.6360,0.6718,-9.7166,-0.0335,-0.0617,0.1150,0.0000,0.0000,0.0000
1465076537,0.6376,0.6774,-9.7182,-0.0273,-0.0805,0.0663,0.0000,0.0000,0.0000
1465086536,0.6408,0.6774,-9.7182,-0.0442,-0.0808,0.0725,0.0000,0.0000,0.0000
1465096770,0.6359,0.6758,-9.7166,-0.0612,-0.0687,0.1321,0.0000,0.0000,0.0000
1465106769,0.6376,0.6718,-9.7198,-0.0198,-0.0627,0.1317,0.0000,0.0000,0.0000
1465116603,0.6392,0.6678,-9.7246,-0.0075,-0.0442,0.0900,0.0000,0.0000,0.0000
1465126704,0.6360,0.6694,-9.7174,-0.0310,-0.0250,0.1255,0.0000,0.0000,0.0000
1465136708,0.6391,0.6702,-9.7190,-0.0143,-0.0499,0.1259,0.0000,0.0000,0.0000
1465146603,0.6311,0.6718,-9.7222,-0.0261,-0.0685,0.0365,0.0000,0.0000,0.0000
1465156610,0.6271,0.6734,-9.7142,-0.0217,-0.0863,-0.0396,0.0000,0.0000,0.0000
1465166813,0.6351,0.6710,-9.7198,-0.0106,-0.0687,0.0432,0.0000,0.0000,0.0000
1465176784,0.6367,0.6702,-9.7230,-0.0093,-0.0314,0.1567,0.0000,0.0000,0.0000
1465186607,0.6367,0.6758,-9.7142,-0.0147,-0.0071,0.1205,0.0000,0.0000,0.0000
1465196809,0.6448,0.6694,-9.7166,-0.0265,-0.0505,0.0721,0.0000,0.0000,0.0000
1465206610,0.6504,0.6710,-9.7174,-0.0433,-0.1105,-0.0038,0.0000,0.0000,0.0000
1465216712,0.6311,0.6758,-9.7182,-0.0436,-0.1045,0.0375,0.0000,0.0000,0.0000
1465226611,0.6247,0.6678,-9.7198,-0.0325,-0.0511,0.1085,0.0000,0.0000,0.0000
1465236606,0.6335,0.6662,-9.7214,-0.0211,-0.0138,0.1139,0.0000,0.0000,0.0000
1465246710,0.6368,0.6766,-9.7190,-0.0501,-0.0319,0.0842,0.0000,0.0000,0.0000
1465256609,0.6384,0.6710,-9.7158,-0.0499,-0.0562,0.0962,0.0000,0.0000,0.0000
1465266737,0.6295,0.6654,-9.7214,-0.0271,-0.0685,0.0667,0.0000,0.0000,0.0000
1465276533,0.6327,0.6694,-9.7134,0.0023,-0.0867,0.0426,0.0000,0.0000,0.0000
1465286537,0.6351,0.6726,-9.7166,-0.0036,-0.0866,0.0139,0.0000,0.0000,0.0000
1465296543,0.6383,0.6726,-9.7158,-0.0271,-0.0564,-0.0151,0.0000,0.0000,0.0000
1465306609,0.6367,0.6718,-9.7142,-0.0093,-0.0566,0.0365,0.0000,0.0000,0.0000
1465316742,0.6416,0.6758,-9.7166,-0.0147,-0.0746,0.1251,0.0000,0.0000,0.0000
1465326617,0.6440,0.6782,-9.7158,-0.0436,-0.0380,0.1558,0.0000,0.0000,0.0000
1465336711,0.6303,0.6670,-9.7174,-0.0207,-0.0629,0.1022,0.0000,0.0000,0.0000
1465346613,0.6319,0.6590,-9.7206,-0.0147,-0.0864,0.0494,0.0000,0.0000,0.0000
1465356610,0.6416,0.6702,-9.7206,-0.0319,-0.0740,0.1267,0.0000,0.0000,0.0000
1465366619,0.6472,0.6806,-9.7174,-0.0439,-0.1159,0.1978,0.0000,0.0000,0.0000
1465376612,0.6335,0.6774,-9.7166,-0.0258,-0.1755,0.1746,0.0000,0.0000,0.0000
1465386855,0.6191,0.6686,-9.7182,-0.0090,-0.1279,0.1087,0.0000,0.0000,0.0000
1465396614,0.6271,0.6582,-9.7134,-0.0041,-0.0508,0.0546,0.0000,0.0000,0.0000
1465406615,0.6464,0.6734,-9.7238,-0.0212,-0.0195,-0.0111,0.0000,0.0000,0.0000
1465416781,0.6480,0.6910,-9.7166,-0.0256,-0.0195,0.0068,0.0000,0.0000,0.0000
