time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4149130799,-0.2135,0.6854,-9.7270,0.0024,0.0170,0.1017,0.0000,0.0000,0.0000
4149140802,-0.2079,0.6862,-9.7278,-0.0265,-0.0567,0.0955,0.0000,0.0000,0.0000
4149150635,-0.2127,0.6806,-9.7334,-0.0150,-0.0922,0.1790,0.0000,0.0000,0.0000
4149160709,-0.2207,0.6718,-9.7310,-0.0096,-0.1036,0.1673,0.0000,0.0000,0.0000
4149170842,-0.2247,0.6782,-9.7334,-0.0616,-0.1033,0.1139,0.0000,0.0000,0.0000
4149180880,-0.2167,0.6830,-9.7365,-0.0442,-0.0196,0.1079,0.0000,0.0000,0.0000
4149190632,-0.2151,0.6790,-9.7302,-0.0157,-0.0074,0.0663,0.0000,0.0000,0.0000
4149200709,-0.2167,0.6846,-9.7254,-0.0154,-0.0498,0.0367,0.0000,0.0000,0.0000
4149210628,-0.2135,0.6870,-9.7254,-0.0157,-0.0677,0.0538,0.0000,0.0000,0.0000
4149220807,-0.2119,0.6862,-9.7318,-0.0100,-0.0677,0.0428,0.0000,0.0000,0.0000
4149230700,-0.2183,0.6846,-9.7278,-0.0270,-0.0738,0.0193,0.0000,0.0000,0.0000
4149240816,-0.2095,0.6910,-9.7286,-0.0436,-0.0921,0.0183,0.0000,0.0000,0.0000
4149250811,-0.2135,0.6918,-9.7318,-0.0548,-0.0860,0.1022,0.0000,0.0000,0.0000
4149260711,-0.2335,0.6774,-9.7278,-0.0436,-0.0329,0.1441,0.0000,0.0000,0.0000
4149270707,-0.2223,0.6750,-9.7294,-0.0325,0.0036,0.0478,0.0000,0.0000,0.0000
4149280709,-0.2031,0.6846,-9.7318,-0.0438,-0.0312,-0.0165,0.0000,0.0000,0.0000
4149290882,-0.2127,0.6878,-9.7302,-0.0328,-0.0975,0.0360,0.0000,0.0000,0.0000
4149300806,-0.2311,0.6862,-9.7262,0.0009,-0.0499,0.0838,0.0000,0.0000,0.0000
4149310884,-0.2223,0.6854,-9.7254,-0.0274,0.0110,0.1131,0.0000,0.0000,0.0000
4149320641,-0.2023,0.6846,-9.7286,-0.0499,-0.0022,0.1372,0.0000,0.0000,0.0000
4149330716,-0.2079,0.6846,-9.7286,-0.0267,-0.0563,0.1497,0.0000,0.0000,0.0000
4149340634,-0.2191,0.6822,-9.7222,0.0015,-0.1332,0.1142,0.0000,0.0000,0.0000
4149350878,-0.2223,0.6814,-9.7294,0.0132,-0.1574,0.0901,0.0000,0.0000,0.0000
4149360839,-0.2183,0.6822,-9.7286,-0.0036,-0.1336,0.0955,0.0000,0.0000,0.0000
4149370715,-0.2207,0.6782,-9.7294,-0.0321,-0.1335,0.0776,0.0000,0.0000,0.0000
4149380808,-0.2159,0.6806,-9.7357,-0.0262,-0.1159,0.0065,0.0000,0.0000,0.0000
4149390814,-0.2143,0.6862,-9.7334,-0.0261,-0.0745,-0.0106,0.0000,0.0000,0.0000
4149400804,-0.2167,0.6846,-9.7325,-0.0319,-0.0923,0.0901,0.0000,0.0000,0.0000
4149410643,-0.2231,0.6830,-9.7365,-0.0505,-0.0552,0.1200,0.0000,0.0000,0.0000
4149420848,-0.2223,0.6790,-9.7326,-0.0387,-0.0249,0.1142,0.0000,0.0000,0.0000
4149430813,-0.2111,0.6814,-9.7334,-0.0369,-0.0917,0.0670,0.0000,0.0000,0.0000
4149440705,-0.2095,0.6862,-9.7342,-0.0088,-0.1161,0.0371,0.0000,0.0000,0.0000
4149450877,-0.2175,0.6934,-9.7326,0.0015,-0.0982,0.1196,0.0000,0.0000,0.0000
4149460707,-0.2279,0.6798,-9.7334,-0.0039,-0.0800,0.1980,0.0000,0.0000,0.0000
4149470812,-0.2239,0.6774,-9.7357,-0.0209,-0.0078,0.1800,0.0000,0.0000,0.0000
4149480816,-0.2151,0.6822,-9.7230,-0.0276,-0.0135,0.0783,0.0000,0.0000,0.0000
4149490710,-0.2135,0.6806,-9.7294,-0.0108,-0.0980,0.0488,0.0000,0.0000,0.0000
4149500883,-0.2143,0.6822,-9.7286,-0.0157,-0.0922,0.1135,0.0000,0.0000,0.0000
4149510716,-0.2207,0.6846,-9.7310,-0.0612,-0.0863,0.1014,0.0000,0.0000,0.0000
4149520883,-0.2199,0.6854,-9.7357,-0.0558,-0.1223,0.0657,0.0000,0.0000,0.0000
4149530712,-0.2231,0.6822,-9.7286,0.0011,-0.0809,0.0897,0.0000,0.0000,0.0000
4149540712,-0.2279,0.6790,-9.7278,0.0018,-0.0433,0.0718,0.0000,0.0000,0.0000
4149550638,-0.2175,0.6814,-9.7254,-0.0211,-0.0138,0.0303,0.0000,0.0000,0.0000
4149560715,-0.2079,0.6854,-9.7246,-0.0144,0.0159,0.0544,0.0000,0.0000,0.0000
4149570844,-0.1990,0.6854,-9.7286,-0.0144,-0.0688,0.0900,0.0000,0.0000,0.0000
4149580719,-0.2143,0.6854,-9.7326,0.0137,-0.1219,0.0958,0.0000,0.0000,0.0000
4149590638,-0.2328,0.6830,-9.7286,-0.0147,-0.1572,0.0540,0.0000,0.0000,0.0000
4149600637,-0.2336,0.6790,-9.7397,-0.0152,-0.1097,0.0242,0.0000,0.0000,0.0000
4149610715,-0.2199,0.6798,-9.7326,-0.0212,-0.0131,0.0719,0.0000,0.0000,0.0000
4149620816,-0.2079,0.6918,-9.7230,-0.0553,0.0170,0.1259,0.0000,0.0000,0.0000
4149630714,-0.2079,0.6926,-9.7270,-0.0549,-0.0437,0.1200,0.0000,0.0000,0.0000
4149640842,-0.2175,0.6838,-9.7262,-0.0206,-0.0979,0.0838,0.0000,0.0000,0.0000
4149650711,-0.2247,0.6790,-9.7238,-0.0093,-0.0922,0.0124,0.0000,0.0000,0.0000
4149660633,-0.2175,0.6830,-9.7286,-0.0157,-0.0381,0.0122,0.0000,0.0000,0.0000
4149670822,-0.2127,0.6822,-9.7246,-0.0039,-0.0070,0.0726,0.0000,0.0000,0.0000
4149680718,-0.2215,0.6854,-9.7318,-0.0325,-0.0380,0.1022,0.0000,0.0000,0.0000
