time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4211401966,-0.1758,0.6646,-9.7405,-0.0493,-0.0744,0.1434,0.0000,0.0000,0.0000
4211411967,-0.1573,0.6734,-9.7349,-0.0715,0.0280,0.0900,0.0000,0.0000,0.0000
4211421891,-0.1549,0.6694,-9.7246,-0.0384,-0.0201,0.1204,0.0000,0.0000,0.0000
4211432137,-0.1654,0.6622,-9.7381,-0.0396,-0.0979,0.0313,0.0000,0.0000,0.0000
4211441895,-0.1718,0.6710,-9.7357,-0.0603,-0.0683,-0.0155,0.0000,0.0000,0.0000
4211452211,-0.1734,0.6702,-9.7349,-0.0658,-0.0625,0.0962,0.0000,0.0000,0.0000
4211461890,-0.1613,0.6662,-9.7389,-0.0325,-0.0746,0.0841,0.0000,0.0000,0.0000
4211471961,-0.1614,0.6710,-9.7334,-0.0498,-0.0566,0.0671,0.0000,0.0000,0.0000
4211482063,-0.1629,0.6742,-9.7333,-0.0504,-0.0984,0.0842,0.0000,0.0000,0.0000
4211491968,-0.1629,0.6678,-9.7453,-0.0224,-0.0922,0.1025,0.0000,0.0000,0.0000
4211502082,-0.1686,0.6694,-9.7357,-0.0217,-0.0503,0.1262,0.0000,0.0000,0.0000
4211512069,-0.1702,0.6718,-9.7325,-0.0387,-0.0921,0.1203,0.0000,0.0000,0.0000
4211522064,-0.1630,0.6670,-9.7389,-0.0208,-0.0686,0.0725,0.0000,0.0000,0.0000
4211531896,-0.1621,0.6662,-9.7317,-0.0208,-0.0448,0.1080,0.0000,0.0000,0.0000
4211542063,-0.1661,0.6678,-9.7357,-0.0382,-0.0745,0.1793,0.0000,0.0000,0.0000
4211552062,-0.1677,0.6694,-9.7349,-0.0089,-0.0686,0.1080,0.0000,0.0000,0.0000
4211561960,-0.1654,0.6702,-9.7309,0.0021,-0.0566,0.0243,0.0000,0.0000,0.0000
4211572165,-0.1646,0.6710,-9.7357,0.0077,-0.0622,0.0783,0.0000,0.0000,0.0000
4211581957,-0.1598,0.6710,-9.7333,0.0080,-0.0264,0.1497,0.0000,0.0000,0.0000
4211592066,-0.1605,0.6678,-9.7309,-0.0034,-0.1161,0.1076,0.0000,0.0000,0.0000
