time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1345594119,0.0826,0.6798,-9.7397,-0.0034,-0.1398,-0.0211,0.0000,0.0000,0.0000
1345604123,0.0626,0.6846,-9.7214,-0.0029,-0.1395,0.0666,0.0000,0.0000,0.0000
1345614295,0.0626,0.6734,-9.7389,-0.0206,-0.1098,0.0904,0.0000,0.0000,0.0000
1345624298,0.0690,0.6742,-9.7397,-0.0438,0.0295,0.0731,0.0000,0.0000,0.0000
1345634126,0.0706,0.6686,-9.7246,-0.0025,0.0715,0.1683,0.0000,0.0000,0.0000
1345644194,0.0843,0.6630,-9.7326,-0.0359,-0.0378,0.1438,0.0000,0.0000,0.0000
1345654125,0.0722,0.6742,-9.7349,-0.0369,-0.0616,0.0430,0.0000,0.0000,0.0000
1345664298,0.0706,0.6782,-9.7254,0.0019,-0.1159,0.0490,0.0000,0.0000,0.0000
1345674129,0.0714,0.6726,-9.7413,-0.0271,-0.1160,0.1496,0.0000,0.0000,0.0000
1345684200,0.0610,0.6742,-9.7318,-0.0324,-0.0259,0.0903,0.0000,0.0000,0.0000
1345694293,0.0674,0.6686,-9.7286,0.0073,-0.0627,0.0082,0.0000,0.0000,0.0000
1345704200,0.0842,0.6726,-9.7413,-0.0157,-0.0319,-0.0036,0.0000,0.0000,0.0000
1345714290,0.0851,0.6758,-9.7286,-0.0206,-0.0681,0.0544,0.0000,0.0000,0.0000
1345724203,0.0770,0.6678,-9.7357,-0.0207,-0.2045,0.0722,0.0000,0.0000,0.0000
1345734133,0.0577,0.6758,-9.7381,-0.0447,-0.1398,0.0660,0.0000,0.0000,0.0000
1345744367,0.0577,0.6726,-9.7278,-0.0103,-0.0380,0.0962,0.0000,0.0000,0.0000
1345754128,0.0834,0.6630,-9.7373,-0.0098,-0.0262,0.0600,0.0000,0.0000,0.0000
1345764438,0.0810,0.6758,-9.7381,-0.0279,-0.0569,0.0185,0.0000,0.0000,0.0000
1345774127,0.0674,0.6758,-9.7270,0.0070,-0.1221,0.0834,0.0000,0.0000,0.0000
1345784380,0.0682,0.6734,-9.7373,-0.0267,-0.1102,0.1497,0.0000,0.0000,0.0000
1345794301,0.0754,0.6782,-9.7310,-0.0496,-0.0441,0.1143,0.0000,0.0000,0.0000
1345804128,0.0778,0.6742,-9.7342,-0.0436,-0.0688,0.1204,0.0000,0.0000,0.0000
1345814296,0.0674,0.6702,-9.7341,-0.0324,-0.0684,0.1679,0.0000,0.0000,0.0000
1345824298,0.0602,0.6742,-9.7333,-0.0446,0.0178,0.1800,0.0000,0.0000,0.0000
1345834339,0.0778,0.6718,-9.7334,-0.0450,-0.0003,0.1087,0.0000,0.0000,0.0000
1345844131,0.0834,0.6702,-9.7381,-0.0392,-0.0441,0.0488,0.0000,0.0000,0.0000
1345854297,0.0786,0.6766,-9.7294,-0.0039,-0.1045,0.0900,0.0000,0.0000,0.0000
1345864128,0.0746,0.6718,-9.7381,-0.0089,-0.1639,0.1438,0.0000,0.0000,0.0000
1345874201,0.0642,0.6782,-9.7397,-0.0322,-0.1105,0.0727,0.0000,0.0000,0.0000
1345884366,0.0553,0.6758,-9.7302,-0.0046,-0.0444,0.0380,0.0000,0.0000,0.0000
1345894202,0.0738,0.6734,-9.7350,-0.0098,-0.0137,0.0904,0.0000,0.0000,0.0000
1345904134,0.0826,0.6782,-9.7342,-0.0385,-0.0137,0.1142,0.0000,0.0000,0.0000
1345914205,0.0714,0.6758,-9.7286,-0.0279,-0.0864,0.1025,0.0000,0.0000,0.0000
1345924127,0.0706,0.6758,-9.7341,-0.0385,-0.1162,0.0432,0.0000,0.0000,0.0000
1345934373,0.0778,0.6822,-9.7318,-0.0157,-0.0983,0.0717,0.0000,0.0000,0.0000
1345944130,0.0690,0.6750,-9.7365,-0.0270,-0.1336,0.1493,0.0000,0.0000,0.0000
1345954372,0.0537,0.6646,-9.7365,-0.0268,-0.0506,0.1255,0.0000,0.0000,0.0000
1345964132,0.0626,0.6662,-9.7294,-0.0207,0.0167,0.0072,0.0000,0.0000,0.0000
1345974202,0.0794,0.6694,-9.7341,-0.0433,-0.0135,-0.0683,0.0000,0.0000,0.0000
1345984120,0.0746,0.6686,-9.7318,-0.0265,-0.0018,-0.0226,0.0000,0.0000,0.0000
1345994201,0.0714,0.6742,-9.7341,-0.0216,-0.0381,0.0430,0.0000,0.0000,0.0000
1346004304,0.0770,0.6750,-9.7397,-0.0332,-0.0440,0.1621,0.0000,0.0000,0.0000
1346014136,0.0618,0.6750,-9.7350,-0.0273,-0.0259,0.1329,0.0000,0.0000,0.0000
1346024302,0.0658,0.6702,-9.7342,-0.0317,-0.0259,0.0321,0.0000,0.0000,0.0000
1346034133,0.0891,0.6766,-9.7334,-0.0204,-0.0312,0.0367,0.0000,0.0000,0.0000
1346044303,0.0931,0.6758,-9.7342,-0.0268,-0.0922,0.1197,0.0000,0.0000,0.0000
1346054299,0.0626,0.6710,-9.7342,-0.0324,-0.1577,0.2027,0.0000,0.0000,0.0000
1346064201,0.0465,0.6742,-9.7334,-0.0376,-0.1219,0.1133,0.0000,0.0000,0.0000
1346074335,0.0634,0.6750,-9.7358,-0.0374,-0.0253,0.0197,0.0000,0.0000,0.0000
1346084206,0.0778,0.6758,-9.7373,-0.0322,-0.0017,0.0191,0.0000,0.0000,0.0000
1346094301,0.0859,0.6734,-9.7278,-0.0153,-0.0795,0.0721,0.0000,0.0000,0.0000
1346104411,0.0834,0.6726,-9.7365,-0.0030,-0.1212,0.1492,0.0000,0.0000,0.0000
1346114136,0.0610,0.6662,-9.7350,-0.0083,-0.0740,0.1255,0.0000,0.0000,0.0000
1346124210,0.0642,0.6694,-9.7334,-0.0369,-0.0558,0.0132,0.0000,0.0000,0.0000
1346134308,0.0883,0.6790,-9.7342,-0.0436,-0.1102,0.0255,0.0000,0.0000,0.0000
1346144379,0.0730,0.6758,-9.7349,-0.0157,-0.1514,0.1445,0.0000,0.0000,0.0000
1346154303,0.0401,0.6638,-9.7357,0.0020,-0.1100,0.1679,0.0000,0.0000,0.0000
1346164419,0.0545,0.6670,-9.7357,-0.0268,0.0166,0.0958,0.0000,0.0000,0.0000
1346174297,0.0858,0.6814,-9.7325,-0.0376,0.0539,-0.0217,0.0000,0.0000,0.0000
1346184196,0.0963,0.6790,-9.7254,-0.0204,-0.0445,0.0068,0.0000,0.0000,0.0000
1346194136,0.0794,0.6678,-9.7334,-0.0378,-0.1516,0.1312,0.0000,0.0000,0.0000
1346204208,0.0585,0.6654,-9.7373,-0.0154,-0.2046,0.1251,0.0000,0.0000,0.0000
1346214309,0.0481,0.6678,-9.7326,-0.0036,-0.1334,0.0486,0.0000,0.0000,0.0000
1346224317,0.0666,0.6694,-9.7342,-0.0381,-0.0144,0.0074,0.0000,0.0000,0.0000
1346234376,0.0866,0.6750,-9.7349,-0.0442,-0.0323,0.0488,0.0000,0.0000,0.0000
1346244210,0.0762,0.6782,-9.7365,-0.0148,-0.1044,0.0791,0.0000,0.0000,0.0000
1346254207,0.0609,0.6782,-9.7365,-0.0271,-0.1279,0.1147,0.0000,0.0000,0.0000
1346264137,0.0674,0.6678,-9.7373,-0.0336,-0.0912,0.1080,0.0000,0.0000,0.0000
1346274379,0.0810,0.6646,-9.7317,-0.0163,-0.0561,0.1080,0.0000,0.0000,0.0000
1346284312,0.0746,0.6670,-9.7341,-0.0219,-0.1397,0.0542,0.0000,0.0000,0.0000
1346294213,0.0601,0.6702,-9.7365,-0.0265,-0.1870,0.0253,0.0000,0.0000,0.0000
1346304126,0.0593,0.6702,-9.7333,-0.0206,-0.1045,0.0538,0.0000,0.0000,0.0000
1346314212,0.0706,0.6726,-9.7397,-0.0319,-0.0130,0.0772,0.0000,0.0000,0.0000
1346324307,0.0682,0.6814,-9.7493,-0.0331,0.0414,0.1375,0.0000,0.0000,0.0000
1346334224,0.0400,0.7326,-9.7645,-0.0218,0.5044,0.7993,0.0000,0.0000,0.0000
1346344130,0.0369,0.6566,-9.7086,0.0652,0.8823,1.4833,0.0000,0.0000,0.0000
1346354362,0.1429,0.5934,-9.7190,-0.0138,0.4183,0.4688,0.0000,0.0000,0.0000
1346364143,0.1348,0.6694,-9.7469,-0.0314,-0.3396,-0.7778,0.0000,0.0000,0.0000
1346374303,0.0425,0.7086,-9.7325,0.0301,-0.5680,-0.5707,0.0000,0.0000,0.0000
1346384313,0.0449,0.6686,-9.7453,0.0015,-0.1523,0.2783,0.0000,0.0000,0.0000
1346394316,0.0770,0.6646,-9.7437,-0.0429,0.1888,0.4747,0.0000,0.0000,0.0000
