time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
310533261,0.1396,0.6934,-9.7357,-0.0162,-0.1036,0.0317,0.0000,0.0000,0.0000
310543334,0.1204,0.7014,-9.7317,-0.0273,-0.1869,0.0014,0.0000,0.0000,0.0000
310553260,0.1051,0.7150,-9.7373,-0.0048,-0.1337,0.0014,0.0000,0.0000,0.0000
310563338,0.1027,0.7030,-9.7341,0.0063,0.0105,0.1025,0.0000,0.0000,0.0000
310573466,0.1228,0.6862,-9.7278,0.0064,0.0772,0.1376,0.0000,0.0000,0.0000
310583337,0.1356,0.6926,-9.7318,-0.0094,0.0049,0.1197,0.0000,0.0000,0.0000
310593430,0.1220,0.6958,-9.7342,-0.0206,-0.0968,0.0963,0.0000,0.0000,0.0000
310603334,0.0987,0.6950,-9.7341,-0.0031,-0.1042,0.0070,0.0000,0.0000,0.0000
310613257,0.1091,0.7038,-9.7325,-0.0100,-0.0256,-0.0391,0.0000,0.0000,0.0000
310623437,0.1268,0.7078,-9.7309,-0.0165,0.0176,0.0963,0.0000,0.0000,0.0000
310633334,0.1332,0.6958,-9.7286,0.0192,-0.0376,0.1084,0.0000,0.0000,0.0000
310643431,0.1228,0.6950,-9.7317,0.0023,-0.1394,0.0546,0.0000,0.0000,0.0000
310653337,0.1107,0.6934,-9.7349,-0.0338,-0.1334,0.0966,0.0000,0.0000,0.0000
310663438,0.1139,0.6918,-9.7453,-0.0274,-0.0862,0.0959,0.0000,0.0000,0.0000
310673441,0.1292,0.7086,-9.7389,-0.0267,-0.0390,0.0421,0.0000,0.0000,0.0000
310683263,0.1276,0.7150,-9.7302,-0.0154,-0.0983,0.0838,0.0000,0.0000,0.0000
310693496,0.1148,0.7046,-9.7342,-0.0152,-0.1159,0.1548,0.0000,0.0000,0.0000
310703263,0.1099,0.6894,-9.7342,-0.0213,-0.0740,0.1669,0.0000,0.0000,0.0000
310713515,0.1147,0.6910,-9.7373,-0.0392,-0.0612,0.0718,0.0000,0.0000,0.0000
310723437,0.1228,0.6982,-9.7365,-0.0339,-0.0563,0.0421,0.0000,0.0000,0.0000
310733341,0.1244,0.6926,-9.7349,-0.0104,-0.0681,0.1797,0.0000,0.0000,0.0000
310743437,0.1099,0.6950,-9.7397,-0.0219,-0.0854,0.1553,0.0000,0.0000,0.0000
310753508,0.1131,0.6974,-9.7357,-0.0159,-0.0802,0.0122,0.0000,0.0000,0.0000
310763262,0.1284,0.6998,-9.7357,-0.0324,-0.0867,-0.0048,0.0000,0.0000,0.0000
310773340,0.1292,0.7054,-9.7302,-0.0381,-0.0688,0.0962,0.0000,0.0000,0.0000
310783472,0.1179,0.7022,-9.7318,-0.0436,-0.0567,0.1918,0.0000,0.0000,0.0000
